algorithm,metric,n_seeds,mean,std,ci95_halfwidth
nsga,hv,20,1.093083,0.044463,0.020809
nsga,igd,20,0.237953,0.185982,0.087042
nsga,spread,20,1.415228,0.100301,0.046942
nsga,gd,20,0.039762,0.042462,0.019873
omf,hv,20,1.104712,0.006603,0.003090
omf,igd,20,0.237127,0.189650,0.088759
omf,spread,20,1.452314,0.104330,0.048828
omf,gd,20,0.035673,0.024017,0.011240
pso,hv,20,1.097628,0.027882,0.013049
pso,igd,20,0.252996,0.185417,0.086778
pso,spread,20,1.420185,0.138240,0.064698
pso,gd,20,0.049798,0.074622,0.034924
