algorithm,seed,hv,igd,spread,gd
nsga,1,1.110333,0.244319,1.355361,0.014051
nsga,2,1.108655,0.303080,1.361258,0.048989
nsga,3,1.020491,0.261294,1.418636,0.075300
nsga,4,1.108358,0.060580,1.527138,0.019734
nsga,5,1.108943,0.303714,1.335446,0.042418
nsga,6,1.109778,0.086990,1.529125,0.023120
nsga,7,1.107677,0.219518,1.350016,0.031978
nsga,8,0.924331,0.110602,1.581875,0.202610
nsga,9,1.106656,0.210850,1.351616,0.023830
nsga,10,1.106554,0.206322,1.358798,0.012714
nsga,11,1.110403,0.260144,1.327938,0.031700
nsga,12,1.108946,0.269912,1.576753,0.039006
nsga,13,1.108067,0.279460,1.335519,0.023568
nsga,14,1.109144,0.268442,1.336164,0.004320
nsga,15,1.109017,0.040941,1.523949,0.025057
nsga,16,1.086088,0.108772,1.530606,0.073379
nsga,17,1.097822,0.195017,1.345527,0.022145
nsga,18,1.107539,0.942413,1.306734,0.014049
nsga,19,1.108583,0.110444,1.538320,0.030395
nsga,20,1.104267,0.276245,1.313775,0.036869
omf,1,1.105081,0.039753,1.601309,0.032306
omf,2,1.107334,0.255734,1.427721,0.021694
omf,3,1.106298,0.283861,1.354677,0.017647
omf,4,1.109689,0.069059,1.557200,0.003615
omf,5,1.109353,0.234923,1.393425,0.024213
omf,6,1.110054,0.267401,1.355737,0.018203
omf,7,1.101450,0.307306,1.605551,0.056358
omf,8,1.109712,0.287516,1.369038,0.002542
omf,9,1.103534,0.257834,1.391238,0.024678
omf,10,1.108323,0.279268,1.363015,0.043937
omf,11,1.110205,0.940610,1.320926,0.001039
omf,12,1.103521,0.237385,1.386687,0.055156
omf,13,1.094755,0.107872,1.425230,0.065530
omf,14,1.104069,0.263463,1.368424,0.059757
omf,15,1.109174,0.089567,1.576927,0.022689
omf,16,1.107345,0.287553,1.592437,0.019392
omf,17,1.082231,0.224863,1.391839,0.078042
omf,18,1.105419,0.041160,1.595958,0.046645
omf,19,1.099715,0.190726,1.390418,0.078242
omf,20,1.106971,0.076683,1.578528,0.041768
pso,1,1.109694,0.261675,1.351016,0.019795
pso,2,1.108500,0.272787,1.336612,0.017205
pso,3,1.107022,0.208495,1.392464,0.035331
pso,4,1.107509,0.268357,1.342021,0.013335
pso,5,1.105000,0.397520,1.326959,0.031799
pso,6,1.097126,0.269775,1.294131,0.038454
pso,7,1.091054,0.267098,1.322168,0.038776
pso,8,1.106422,0.227026,1.366752,0.038454
pso,9,1.100721,0.082214,1.723089,0.065151
pso,10,1.109484,0.042314,1.563455,0.045732
pso,11,1.101000,0.237621,1.354604,0.029756
pso,12,0.981748,0.948542,1.749405,0.361656
pso,13,1.108661,0.243897,1.364075,0.012021
pso,14,1.095828,0.270278,1.345856,0.028459
pso,15,1.107912,0.230478,1.355101,0.028891
pso,16,1.108235,0.099370,1.554938,0.056120
pso,17,1.096174,0.213209,1.355496,0.020765
pso,18,1.095038,0.232529,1.346948,0.039412
pso,19,1.107020,0.042421,1.611284,0.043339
pso,20,1.108417,0.244307,1.347324,0.031517
