algorithm,metric,n_seeds,mean,std,ci95_halfwidth
improved_leach,FND,20,312.350000,27.050197,12.659882
improved_leach,HND,20,873.800000,46.220980,21.632084
improved_leach,LND,20,1029.850000,10.459320,4.895112
improved_leach,total_packets,20,64828.100000,2055.952434,962.215358
improved_leach,total_packet_loss,20,167.500000,30.648259,14.343827
improved_leach,packet_loss_ratio,20,0.002577,0.000470,0.000220
improved_leach,avg_energy_consumed_per_round,20,0.038844,0.000400,0.000187
improved_leach,elapsed_seconds,20,2.019976,0.117002,0.054758
nsga,FND,20,332.250000,57.257383,26.797280
nsga,HND,20,1070.450000,24.416291,11.427176
nsga,LND,20,1672.850000,45.635022,21.357848
nsga,total_packets,20,82164.750000,684.658722,320.430145
nsga,total_packet_loss,20,1292.650000,79.378026,37.150060
nsga,packet_loss_ratio,20,0.015488,0.000938,0.000439
nsga,avg_energy_consumed_per_round,20,0.023928,0.000648,0.000303
nsga,elapsed_seconds,20,1281.799406,37.627213,17.610078
omf,FND,20,359.250000,48.613270,22.751711
omf,HND,20,1066.750000,19.506746,9.129438
omf,LND,20,1673.400000,41.239225,19.300551
omf,total_packets,20,82750.000000,672.435792,314.709638
omf,total_packet_loss,20,1261.350000,81.723716,38.247877
omf,packet_loss_ratio,20,0.015015,0.000974,0.000456
omf,avg_energy_consumed_per_round,20,0.023917,0.000584,0.000273
omf,elapsed_seconds,20,791.027267,231.833829,108.501572
pso,FND,20,316.100000,80.863693,37.845373
pso,HND,20,1075.600000,17.836686,8.347826
pso,LND,20,1631.950000,45.201857,21.155120
pso,total_packets,20,82583.800000,660.265704,309.013862
pso,total_packet_loss,20,1249.950000,65.512936,30.660998
pso,packet_loss_ratio,20,0.014910,0.000788,0.000369
pso,avg_energy_consumed_per_round,20,0.024529,0.000684,0.000320
pso,elapsed_seconds,20,1593.346644,102.595065,48.015968
