n_nodes,algorithm,algorithm_label,seed,n_rounds_cap,FND,HND,LND,total_packets,total_packet_loss,packet_loss_ratio,avg_energy_consumed_per_round,elapsed_seconds,lnd_reached_cap,source
80,nsga,NSGA-II,1,2500,377,1040,1747,82995,1433,0.016973042118728385,0.02289639381797367,1273.464940099977,False,original_results
80,nsga,NSGA-II,2,2500,326,1073,1656,81776,1284,0.01545870455092704,0.024154589371980676,1212.4736585000064,False,original_results
80,nsga,NSGA-II,3,2500,269,1052,1642,82909,1301,0.015449471559197245,0.024360535931790498,1280.992564999964,False,original_results
80,nsga,NSGA-II,4,2500,435,1063,1679,82729,1302,0.015494281872166225,0.023823704586063133,1284.0741810000036,False,original_results
80,nsga,NSGA-II,5,2500,425,1084,1644,82244,1164,0.013955495875695377,0.024330900243309004,1286.093894700054,False,original_results
80,nsga,NSGA-II,6,2500,329,1081,1682,82327,1129,0.013528086656441719,0.023781212841854936,1303.7800815999508,False,original_results
80,nsga,NSGA-II,7,2500,351,1067,1666,82808,1318,0.01566697572688586,0.024009603841536616,1321.3394033000804,False,original_results
80,nsga,NSGA-II,8,2500,371,1093,1613,81637,1331,0.016042329572847364,0.024798512089274645,1291.8928147999104,False,original_results
80,nsga,NSGA-II,9,2500,330,1031,1689,82861,1258,0.014955004220211843,0.023682652457075192,1306.754904499976,False,original_results
80,nsga,NSGA-II,10,2500,340,1137,1685,82829,1373,0.016306025985130996,0.02373887240356083,1307.8942263999488,False,original_results
80,omf,OMF,1,2500,428,1063,1672,83456,1372,0.016173904842740606,0.023923444976076555,683.8902814998291,False,original_results
80,omf,OMF,2,2500,332,1085,1660,82889,1234,0.014668996588328995,0.024096385542168676,737.7135147000663,False,original_results
80,omf,OMF,3,2500,313,1066,1646,83549,1167,0.013775437933802351,0.024301336573511544,651.3343104000669,False,original_results
80,omf,OMF,4,2500,467,1047,1706,83306,1223,0.014468407292171918,0.023446658851113716,958.6884955998976,False,original_results
80,omf,OMF,5,2500,426,1057,1664,82647,1161,0.013853092783505154,0.02403846153846154,1655.587145099882,False,original_results
80,omf,OMF,6,2500,380,1057,1780,83158,1225,0.014517142078380717,0.02247191011235955,987.5857522999868,False,original_results
80,omf,OMF,7,2500,370,1069,1625,83198,1359,0.016071998770060433,0.024615384615384615,647.6943689000327,False,original_results
80,omf,OMF,8,2500,357,1067,1700,81791,1415,0.01700598514530202,0.023529411764705882,842.8807975000236,False,original_results
80,omf,OMF,9,2500,385,1032,1689,83281,1232,0.014577638943121177,0.023682652457075192,721.0315181000624,False,original_results
80,omf,OMF,10,2500,399,1074,1698,83524,1254,0.014791573285522188,0.023557126030624265,753.6905596000142,False,original_results
80,pso,MOPSO,1,2500,316,1066,1711,83383,1355,0.015990464726568954,0.023378141437755698,1582.2626771000214,False,original_results
80,pso,MOPSO,2,2500,270,1093,1634,82522,1268,0.015133070772168517,0.02447980416156671,1512.031473299954,False,original_results
80,pso,MOPSO,3,2500,375,1083,1633,83373,1285,0.01517871908148078,0.02449479485609308,1542.6236998999957,False,original_results
80,pso,MOPSO,4,2500,346,1067,1666,83407,1208,0.014276428529220588,0.024009603841536616,1528.399552399991,False,original_results
