algorithm,n_alive,rep,seconds,evaluations
OMF,150,0,1.0847715999698266,610
NSGA-II,150,0,1.1165497000329196,600
MOPSO,150,0,1.3073469999944791,630
OMF,100,0,0.6357000999851152,610
NSGA-II,100,0,0.6854199000517838,600
MOPSO,100,0,0.7942079000058584,630
OMF,60,0,0.3468148999963887,610
NSGA-II,60,0,0.40295929997228086,600
MOPSO,60,0,0.48111260001314804,630
OMF,20,0,0.17374779999954626,610
NSGA-II,20,0,0.20537480001803488,600
MOPSO,20,0,0.4000666000065394,630
OMF,150,1,1.097738299984485,610
NSGA-II,150,1,1.1136556999990717,600
MOPSO,150,1,1.2058815999771468,630
OMF,100,1,0.6277458000113256,610
NSGA-II,100,1,0.6396364999818616,600
MOPSO,100,1,0.7172014000243507,630
OMF,60,1,0.35075609997147694,610
NSGA-II,60,1,0.38356859999476,600
MOPSO,60,1,0.4467991999699734,630
OMF,20,1,0.1842690000194125,610
NSGA-II,20,1,0.2058481000130996,600
MOPSO,20,1,0.3589493000181392,630
OMF,150,2,1.0782693999935873,610
NSGA-II,150,2,1.0935259999823757,600
MOPSO,150,2,1.1954901000135578,630
OMF,100,2,0.5935084000229836,610
NSGA-II,100,2,0.6234239999903366,600
MOPSO,100,2,0.7871985000092536,630
OMF,60,2,0.3558279999997467,610
NSGA-II,60,2,0.4003660000162199,600
MOPSO,60,2,0.4696707999682985,630
OMF,20,2,0.18217300000833347,610
NSGA-II,20,2,0.2287715999991633,600
MOPSO,20,2,0.3643570999847725,630
OMF,150,3,1.0821692000026815,610
NSGA-II,150,3,1.1177195000345819,600
MOPSO,150,3,1.1913510999875143,630
OMF,100,3,0.598223400011193,610
NSGA-II,100,3,0.6209963000146672,600
MOPSO,100,3,0.712821300025098,630
OMF,60,3,0.34767940000165254,610
NSGA-II,60,3,0.3834606999880634,600
MOPSO,60,3,0.4384720999514684,630
OMF,20,3,0.16899199999170378,610
NSGA-II,20,3,0.2125101000419818,600
MOPSO,20,3,0.3422098999726586,630
OMF,150,4,1.1710496000014246,610
NSGA-II,150,4,1.1393225999781862,600
MOPSO,150,4,1.2400201000273228,630
OMF,100,4,0.6114930000039749,610
NSGA-II,100,4,0.6307909000315703,600
MOPSO,100,4,0.7045339999604039,630
OMF,60,4,0.3608634999836795,610
NSGA-II,60,4,0.392622500017751,600
MOPSO,60,4,0.4370505000115372,630
OMF,20,4,0.19951100001344457,610
NSGA-II,20,4,0.20950810000067577,600
MOPSO,20,4,0.3768264999962412,630
OMF,150,5,1.09512780001387,610
NSGA-II,150,5,1.1263850999530405,600
MOPSO,150,5,1.243334800004959,630
OMF,100,5,0.6238095999578945,610
NSGA-II,100,5,0.632966100005433,600
MOPSO,100,5,0.7272380000213161,630
OMF,60,5,0.3636943000019528,610
NSGA-II,60,5,0.3924047999898903,600
MOPSO,60,5,0.42282799998065457,630
OMF,20,5,0.17137539997929707,610
NSGA-II,20,5,0.20707689999835566,600
MOPSO,20,5,0.3632919000228867,630
OMF,150,6,1.0984433999983594,610
NSGA-II,150,6,1.1565675999736413,600
MOPSO,150,6,1.2574704000144266,630
OMF,100,6,0.5989035999518819,610
NSGA-II,100,6,0.6412613999564201,600
MOPSO,100,6,0.6937249999609776,630
OMF,60,6,0.3530039000324905,610
NSGA-II,60,6,0.3867010000394657,600
MOPSO,60,6,0.4496884999680333,630
OMF,20,6,0.17499080003472045,610
NSGA-II,20,6,0.20338510000146925,600
MOPSO,20,6,0.37154059996828437,630
OMF,150,7,1.0789932999759912,610
NSGA-II,150,7,1.13660509994952,600
MOPSO,150,7,1.2253109999583103,630
OMF,100,7,0.6197692000423558,610
NSGA-II,100,7,0.6313035999774002,600
MOPSO,100,7,0.7295305000152439,630
OMF,60,7,0.34961229999316856,610
NSGA-II,60,7,0.3861862000194378,600
MOPSO,60,7,0.44407799997134134,630
OMF,20,7,0.1676617999910377,610
NSGA-II,20,7,0.2024929000181146,600
MOPSO,20,7,0.36207829997874796,630
